Purchase_ID,Mobile_Number,Vehicle_Number,Date,Fuel_Type,Fuel_Quantity (L),Fuel_Price (₹/L),Total_Cost (₹),Odometer_Reading (Km),Fuel_Station,Fuel_Station_Location,Payment_Mode,Vehicle_Type,Mileage (Km/L)
P120,9012345678,AP05GH3456,05-11-2025,Petrol,6.1,108,658.8,17019,HP Petrol Pump,Kakinada,Cash,Car,41.15
P038,9012345678,AP05GH3456,11-11-2025,Petrol,9.7,108,1047.6,17221,Indian Oil,Visakhapatnam,Cash,Car,20.82
P029,9012345678,AP05GH3456,17-11-2025,Petrol,5,107,535,17465,Bharat Petroleum,Eluru,UPI,Car,48.8
P119,9012345678,AP05GH3456,24-11-2025,Petrol,10.9,109,1188.1,17678,Reliance Petroleum,Vijayawada,Cash,Car,19.54
P048,9988776655,AP16EF9012,08-08-2025,Diesel,4.7,97,455.9,26672,Indian Oil,Rajahmundry,UPI,Car,
P115,9988776655,AP16EF9012,12-08-2025,Diesel,12.1,97,1173.7,26839,Reliance Petroleum,Hyderabad,Card,Car,13.8
P023,9988776655,AP16EF9012,17-08-2025,Diesel,8.1,96,777.6,26952,HP Petrol Pump,Kakinada,UPI,Car,13.95
P012,9988776655,AP16EF9012,21-08-2025,Diesel,13.4,96,1286.4,27145,Indian Oil,Visakhapatnam,Cash,Car,14.4
P060,9988776655,AP16EF9012,26-08-2025,Diesel,13.6,97,1319.2,27423,Bharat Petroleum,Eluru,Card,Car,20.44
P098,9988776655,AP16EF9012,30-08-2025,Diesel,16.5,96,1584,27743,Reliance Petroleum,Vijayawada,UPI,Car,19.39
P108,9988776655,AP16EF9012,03-09-2025,Diesel,8.6,97,834.2,27936,HP Petrol Pump,Vijayawada,Card,Car,22.44
P032,9988776655,AP16EF9012,07-09-2025,Diesel,17.9,97,1736.3,28249,Bharat Petroleum,Guntur,Cash,Car,17.49
P046,9988776655,AP16EF9012,11-09-2025,Diesel,13.8,95,1311,28570,Indian Oil,Rajahmundry,UPI,Car,23.26
P027,9988776655,AP16EF9012,16-09-2025,Diesel,4.3,97,417.1,28869,Reliance Petroleum,Hyderabad,UPI,Car,69.53
P074,9988776655,AP16EF9012,21-09-2025,Diesel,11.1,95,1054.5,28947,HP Petrol Pump,Kakinada,UPI,Car,7.03
P026,9988776655,AP16EF9012,27-09-2025,Diesel,6.3,95,598.5,29064,Indian Oil,Visakhapatnam,Cash,Car,18.57
P062,9988776655,AP16EF9012,02-10-2025,Diesel,5.8,97,562.6,29284,Bharat Petroleum,Eluru,Cash,Car,37.93
P114,9988776655,AP16EF9012,08-10-2025,Diesel,9.2,95,874,29467,Reliance Petroleum,Vijayawada,UPI,Car,19.89
P072,9988776655,AP16EF9012,14-10-2025,Diesel,15.1,96,1449.6,29744,HP Petrol Pump,Vijayawada,UPI,Car,18.34
P009,9988776655,AP16EF9012,20-10-2025,Diesel,12.8,97,1241.6,29938,Bharat Petroleum,Guntur,Cash,Car,15.16
P117,9988776655,AP16EF9012,26-10-2025,Diesel,13.6,96,1305.6,30164,Indian Oil,Rajahmundry,Card,Car,16.62
P066,9988776655,AP16EF9012,31-10-2025,Diesel,17.1,96,1641.6,30422,Reliance Petroleum,Hyderabad,UPI,Car,15.09
P059,9345678901,AP37JK7890,01-08-2025,Petrol,3.5,107,374.5,7574,HP Petrol Pump,Vijayawada,Cash,Bike,
P055,9345678901,AP37JK7890,04-08-2025,Petrol,4.3,108,464.4,7824,Bharat Petroleum,Guntur,UPI,Bike,58.14
P092,9345678901,AP37JK7890,08-08-2025,Petrol,5.7,108,615.6,8126,Indian Oil,Rajahmundry,UPI,Bike,52.98
P031,9345678901,AP37JK7890,12-08-2025,Petrol,5.9,107,631.3,8334,Reliance Petroleum,Hyderabad,Cash,Bike,35.25
P118,9345678901,AP37JK7890,17-08-2025,Petrol,4.8,108,518.4,8560,HP Petrol Pump,Kakinada,UPI,Bike,47.08
P018,9345678901,AP37JK7890,21-08-2025,Petrol,3.4,107,363.8,8758,Indian Oil,Visakhapatnam,Cash,Bike,58.24
P106,9345678901,AP37JK7890,26-08-2025,Petrol,2.6,109,283.4,8946,Bharat Petroleum,Eluru,UPI,Bike,72.31
P034,9345678901,AP37JK7890,30-08-2025,Petrol,3.3,108,356.4,9077,Reliance Petroleum,Vijayawada,UPI,Bike,39.7
P065,9345678901,AP37JK7890,03-09-2025,Petrol,3,108,324,9245,HP Petrol Pump,Vijayawada,Card,Bike,56
P084,9345678901,AP37JK7890,07-09-2025,Petrol,4.8,109,523.2,9476,Bharat Petroleum,Guntur,Card,Bike,48.12
P086,9345678901,AP37JK7890,11-09-2025,Petrol,4.7,109,512.3,9607,Indian Oil,Rajahmundry,UPI,Bike,27.87
P094,9345678901,AP37JK7890,16-09-2025,Petrol,5,107,535,9951,Reliance Petroleum,Hyderabad,Cash,Bike,68.8
P083,9345678901,AP37JK7890,21-09-2025,Petrol,2.5,109,272.5,10115,HP Petrol Pump,Kakinada,Card,Bike,65.6
P016,9345678901,AP37JK7890,27-09-2025,Petrol,5,108,540,10283,Indian Oil,Visakhapatnam,Card,Bike,33.6
P004,9345678901,AP37JK7890,05-11-2025,Petrol,4.5,107,481.5,6461,HP Petrol Pump,Kakinada,UPI,Bike,
P051,9345678901,AP37JK7890,11-11-2025,Petrol,4.7,109,512.3,6802,Indian Oil,Visakhapatnam,Card,Bike,72.55
P049,9345678901,AP37JK7890,17-11-2025,Petrol,5.5,108,594,7048,Bharat Petroleum,Eluru,Cash,Bike,44.73
P077,9345678901,AP37JK7890,24-11-2025,Petrol,3.8,107,406.6,7335,Reliance Petroleum,Vijayawada,Card,Bike,75.53
P036,9876543210,AP39AB1234,01-08-2025,Petrol,7.3,109,795.7,17287,HP Petrol Pump,Vijayawada,Cash,Car,
P076,9876543210,AP39AB1234,04-08-2025,Petrol,10.1,109,1100.9,17511,Bharat Petroleum,Guntur,Cash,Car,22.18
P022,9876543210,AP39AB1234,08-08-2025,Petrol,14.1,107,1508.7,17588,Indian Oil,Rajahmundry,Cash,Car,5.46
P078,9876543210,AP39AB1234,12-08-2025,Petrol,10.1,107,1080.7,17931,Reliance Petroleum,Hyderabad,Card,Car,33.96
P080,9876543210,AP39AB1234,17-08-2025,Petrol,16.6,107,1776.2,18065,HP Petrol Pump,Kakinada,Cash,Car,8.07
P015,9876543210,AP39AB1234,21-08-2025,Petrol,8.4,109,915.6,18275,Indian Oil,Visakhapatnam,UPI,Car,25
P071,9876543210,AP39AB1234,26-08-2025,Petrol,10.6,108,1144.8,18368,Bharat Petroleum,Eluru,Card,Car,8.77
P020,9876543210,AP39AB1234,30-08-2025,Petrol,5.5,108,594,18465,Reliance Petroleum,Vijayawada,Cash,Car,17.64
P025,9876543210,AP39AB1234,03-09-2025,Petrol,12.8,107,1369.6,18684,HP Petrol Pump,Vijayawada,UPI,Car,17.11
P058,9876543210,AP39AB1234,07-09-2025,Petrol,5.9,108,637.2,18818,Bharat Petroleum,Guntur,Cash,Car,22.71
P075,9876543210,AP39AB1234,11-09-2025,Petrol,17.6,108,1900.8,19139,Indian Oil,Rajahmundry,UPI,Car,18.24
P064,9876543210,AP39AB1234,16-09-2025,Petrol,13.7,108,1479.6,19261,Reliance Petroleum,Hyderabad,Card,Car,8.91
P010,9876543210,AP39AB1234,02-10-2025,Petrol,13.3,109,1449.7,15095,Bharat Petroleum,Eluru,UPI,Car,
P043,9876543210,AP39AB1234,08-10-2025,Petrol,13.1,107,1401.7,15412,Reliance Petroleum,Vijayawada,UPI,Car,24.2
P061,9876543210,AP39AB1234,14-10-2025,Petrol,12.9,109,1406.1,15623,HP Petrol Pump,Vijayawada,UPI,Car,16.36
P045,9876543210,AP39AB1234,20-10-2025,Petrol,9.3,109,1013.7,15961,Bharat Petroleum,Guntur,Card,Car,36.34
P028,9876543210,AP39AB1234,26-10-2025,Petrol,16.3,108,1760.4,16175,Indian Oil,Rajahmundry,Cash,Car,13.13
P088,9876543210,AP39AB1234,31-10-2025,Petrol,17.8,107,1904.6,16296,Reliance Petroleum,Hyderabad,Card,Car,6.8
P007,9876543210,AP39AB1234,05-11-2025,Petrol,5.4,109,588.6,16465,HP Petrol Pump,Kakinada,UPI,Car,31.3
P011,9876543210,AP39AB1234,11-11-2025,Petrol,7.9,109,861.1,16686,Indian Oil,Visakhapatnam,Card,Car,27.97
P021,9876543210,AP39AB1234,17-11-2025,Petrol,9.3,109,1013.7,16872,Bharat Petroleum,Eluru,Cash,Car,20
P054,9876543210,AP39AB1234,24-11-2025,Petrol,12.7,107,1358.9,17126,Reliance Petroleum,Vijayawada,UPI,Car,20
P030,8899001122,AP39LM2468,01-08-2025,PETROL,17.3,108,1591.6,21601,HP Petrol Pump,Vijayawada,Cash,Car,
P057,8899001122,AP39LM2468,04-08-2025,CNG,4.1,91,373.1,21922,Bharat Petroleum,Guntur,Cash,Car,78.29
P014,8899001122,AP39LM2468,08-08-2025,CNG,7.1,93,660.3,22029,Indian Oil,Rajahmundry,UPI,Car,15.07
P035,8899001122,AP39LM2468,12-08-2025,CNG,4.8,92,441.6,22126,Reliance Petroleum,Hyderabad,Card,Car,20.21
P040,8899001122,AP39LM2468,17-08-2025,CNG,5.4,93,502.2,22273,HP Petrol Pump,Kakinada,UPI,Car,27.22
P105,8899001122,AP39LM2468,21-08-2025,PETROL,15.2,105,1398.4,22419,Indian Oil,Visakhapatnam,UPI,Car,9.61
P070,8899001122,AP39LM2468,26-08-2025,CNG,7.5,92,690,22644,Bharat Petroleum,Eluru,Card,Car,30
P024,8899001122,AP39LM2468,30-08-2025,CNG,14.1,91,1283.1,22757,Reliance Petroleum,Vijayawada,Cash,Car,8.01
P111,8899001122,AP39LM2468,21-09-2025,CNG,14.9,92,1370.8,18943,HP Petrol Pump,Kakinada,UPI,Car,
P001,8899001122,AP39LM2468,27-09-2025,PETROL,4.4,105,409.2,19158,Indian Oil,Visakhapatnam,UPI,Car,48.86
P068,8899001122,AP39LM2468,02-10-2025,PETROL,17,108,1564,19468,Bharat Petroleum,Eluru,UPI,Car,18.24
P073,8899001122,AP39LM2468,08-10-2025,CNG,9.6,93,892.8,19783,Reliance Petroleum,Vijayawada,Card,Car,32.81
P116,8899001122,AP39LM2468,14-10-2025,CNG,5.1,92,469.2,20078,HP Petrol Pump,Vijayawada,Cash,Car,57.84
P085,8899001122,AP39LM2468,20-10-2025,CNG,11.2,92,1030.4,20322,Bharat Petroleum,Guntur,Card,Car,21.79
P013,8899001122,AP39LM2468,26-10-2025,CNG,6.3,93,585.9,20486,Indian Oil,Rajahmundry,Cash,Car,26.03
P067,8899001122,AP39LM2468,31-10-2025,CNG,13.3,93,1236.9,20582,Reliance Petroleum,Hyderabad,Cash,Car,7.22
P087,8899001122,AP39LM2468,05-11-2025,PETROL,7.1,109,653.2,20781,HP Petrol Pump,Kakinada,UPI,Car,28.03
P107,8899001122,AP39LM2468,11-11-2025,CNG,5.9,93,548.7,21095,Indian Oil,Visakhapatnam,UPI,Car,53.22
P008,8899001122,AP39LM2468,17-11-2025,CNG,11.5,93,1069.5,21223,Bharat Petroleum,Eluru,Cash,Car,11.13
P017,8899001122,AP39LM2468,24-11-2025,CNG,6,92,552,21326,Reliance Petroleum,Vijayawada,Cash,Car,17.17
P044,9123456780,AP40CD5678,03-09-2025,Petrol,3.9,109,425.1,8303,HP Petrol Pump,Vijayawada,Card,Bike,
P091,9123456780,AP40CD5678,07-09-2025,Petrol,5.3,107,567.1,8433,Bharat Petroleum,Guntur,UPI,Bike,24.53
P041,9123456780,AP40CD5678,11-09-2025,Petrol,3.2,109,348.8,8716,Indian Oil,Rajahmundry,Card,Bike,88.44
P104,9123456780,AP40CD5678,16-09-2025,Petrol,4,108,432,8901,Reliance Petroleum,Hyderabad,Card,Bike,46.25
P042,9123456780,AP40CD5678,21-09-2025,Petrol,4.1,108,442.8,9238,HP Petrol Pump,Kakinada,Cash,Bike,82.2
P097,9123456780,AP40CD5678,27-09-2025,Petrol,4,109,436,9502,Indian Oil,Visakhapatnam,Card,Bike,66
P047,9123456780,AP40CD5678,02-10-2025,Petrol,3.3,108,356.4,9802,Bharat Petroleum,Eluru,Cash,Bike,90.91
P056,9123456780,AP40CD5678,08-10-2025,Petrol,3.5,109,381.5,10098,Reliance Petroleum,Vijayawada,Cash,Bike,84.57
P099,9123456780,AP40CD5678,14-10-2025,Petrol,4.9,108,529.2,10320,HP Petrol Pump,Vijayawada,Card,Bike,45.31
P050,9123456780,AP40CD5678,20-10-2025,Petrol,2.9,107,310.3,10609,Bharat Petroleum,Guntur,Cash,Bike,99.66
P052,9123456780,AP40CD5678,26-10-2025,Petrol,5,108,540,10835,Indian Oil,Rajahmundry,Card,Bike,45.2
P053,9123456780,AP40CD5678,31-10-2025,Petrol,4.8,109,523.2,10935,Reliance Petroleum,Hyderabad,UPI,Bike,20.83
P037,9123456780,AP40CD5678,05-11-2025,Petrol,5.8,107,620.6,11055,HP Petrol Pump,Kakinada,UPI,Bike,20.69
P002,9123456780,AP40CD5678,11-11-2025,Petrol,2.9,107,310.3,11231,Indian Oil,Visakhapatnam,Cash,Bike,60.69
P096,9123456780,AP40CD5678,17-11-2025,Petrol,4.7,107,502.9,11409,Bharat Petroleum,Eluru,Cash,Bike,37.87
P112,9123456780,AP40CD5678,24-11-2025,Petrol,2.6,108,280.8,11614,Reliance Petroleum,Vijayawada,UPI,Bike,78.85
